country,measure,statistic,value
US,doclen-space_tokenized,median,528.0
US,doclen-bert_tokenized,mean,740.0592
US,doclen-bert_tokenized,std,416.0432
US,doclen-bert_tokenized,median,655.0
US,STTR,space_tokenized_STTR,0.4477
US,vendi_score,ngram_vendiscore,234.0714
US,vendi_score,embedding_vendiscore,1.205
US,STTR,lemma_STTR,0.4067
US,paragraphs_per_doc,mean,20.7453
US,paragraphs_per_doc,std,13.8809
US,paragraphs_per_doc,median,17.0
US,lists_per_doc,mean,2.4241
US,lists_per_doc,std,1.8575
US,lists_per_doc,median,2.0
US,paragraph_len-space_tokenized,mean,28.6188
US,paragraph_len-space_tokenized,std,43.6172
US,elements_per_list,mean,6.2188
US,elements_per_list,std,3.9114
US,elements_per_list,median,5.0
US,salary_info,percentage,62.67
US,salary_info,mean_lines_per_doc,1.0673
US,paragraph_len-space_tokenized,median,12.0
